Name,Creator,DJ,Host,Staff,VIP,Menu,Stage,Duck,Backstage,Camera,Video,Birthday
4liceD,True,False,False,True,False,True,True,True,True,False,True,True
'Saya',True,False,False,False,True,True,True,True,True,False,True,False
zivania,False,False,False,True,True,True,True,True,True,False,True,False
MCItech,False,False,False,True,True,True,False,True,False,False,False,False
Usеr,False,False,False,False,False,False,True,False,False,False,True,False
Cinnamon Loop,False,False,False,True,True,True,True,True,True,False,False,False
thomatoes50,False,False,False,False,True,True,False,True,True,False,False,False
DJ Love Sense,False,False,False,False,True,True,True,False,False,True,True,False
ItsCube,False,False,False,True,True,True,True,True,True,False,True,False
Charatanuki,False,False,False,True,True,True,True,True,True,False,True,False
